City,State,State2,Country,Country2,Latitude,Longitude,Name,Price Per Guest,numberOfGuests,Price,roomType,Ratings
Igatpuri, Maharashtra,Maharashtra, India,India,19.69109,73.57564,Alluring 3 Bedroom Villa in Igatpuri,48,10,481,Entire villa,0
Jaipur, Rajasthan,Rajasthan, India,India,26.89797,75.79371,1 Manhattan •luxurious 3 bhk penthouse•,68,7,478,Entire condo,3.33
Panchgani, Maharashtra,Maharashtra, India,India,17.91803574,73.81090967,Hilltop's Hashnoor Villa 21,30,16,481,Entire villa,0
Kotagiri, Tamil Nadu,Tamil Nadu, India,India,11.42827227,76.85974585,Rayne Forest - Luxury 5 BR Villa in Kotagiri,29,16,471,Entire villa,0
Bengaluru, Karnataka,Karnataka, India,India,12.86523,77.58067,"4x2BHK for weddings, haldi, mehndi, sangeet, 40pax",30,16,481,Entire condo,5
Lonavla, Maharashtra,Maharashtra, India,India,18.78225,73.38634,9BHK || 30PAX || NEAR DELLA || MOUNTAIN VIEW.,30,16,479,Entire villa,0
Kasauli, Himachal Pradesh,Himachal Pradesh, India,India,30.88968,76.96528,pine peak villa,27,16,430,Entire villa,4.9
Chennai, Tamil Nadu,Tamil Nadu, India,India,12.88296,80.2506,Costa Verde Seafront Villa with 24x7 Pool,27,15,398,Entire home,4.75
New Delhi, Delhi,Delhi, India,India,28.56747,77.16195,Cameo art house 1,241,2,481,Private room in bed and breakfast,4.8
Kihim, Maharashtra,Maharashtra, India,India,18.73374,72.867,Luxury 3 BHK Villa w Pvt Pool - 2 mins to beach,44,10,436,Entire home,4.94
Indore, Madhya Pradesh,Madhya Pradesh, India,India,22.734,75.943,The Mangrove Villa,27,16,430,Entire villa,0
Krishnagiri, Tamil Nadu,Tamil Nadu, India,India,12.80213,77.82934,10 Bedrooms in a Resort with a Swimming Pool,26,16,421,Private room in resort,0
Moira, Goa,Goa, India,India,15.591,73.841,"the Inner Temple sanctuary, Moira, Goa",41,10,412,Entire villa,4.88
Verla, Goa,Goa, India,India,15.58594,73.78018,Hendrix luxury villa with private pool,26,16,421,Entire villa,4.75
Shashbani, Uttarakhand,Uttarakhand, India,India,29.42878,79.67858,4 bedrooms at Mukteshwar; MIAGO,48,10,481,Entire villa,0
Alibag, Maharashtra,Maharashtra, India,India,18.66683,72.87466,Private Villa in Alibaug-Mazzo Reef,120,4,481,Entire home/apt,0
Anjuna, Goa,Goa, India,India,15.583,73.759,Frangipani Villa In Idyllic Laid Back Anjuna Goa,68,6,405,Entire villa,4.86
Sheel, Himachal Pradesh,Himachal Pradesh, India,India,31.1483,77.69797,7 Room Villa,33,14,467,Farm stay,0
Ahmedabad, Gujarat,Gujarat, India,India,23.071,72.557,Recently Renovated Bungalow in the Heart of City,30,16,481,Entire bungalow,4.62
New Delhi, Delhi,Delhi, India,India,28.45914,77.20017,Golden Arch-5 Bedroom Farm House,48,10,481,Entire villa,4.57
